abn,charityname,registrationstatus,charitysize,activity_desc,other_activity_desc
11000761571,AUSTRALIANS IN MISSION TOGETHER,Registered,Large,AMT supports Christian Missionaries by supplementing their living expenses and allocating mission grants for projects overseas in keeping with the External Conduct Standards.,
11095489197,UCB ASIA Pacific Limited,Registered,Small,"Transferring funds or goods overseas  Further details: Provided the copyright for our popular daily devotional, which is published in simple English and/or translated into local languages such as Nepalese, Pidgin, Bahasa and Tetun for printing and distribution to local communities through churches and schools, or through broadcast via local radio stations, web and social media. We provided assistance with training and resources for improved best practices with local board committees of management in their responsibilities in good governance. Local fund-raising initiatives, Computers and broadcast software, funding of capital works projects such as constructing studios, offices and transmission sites.",
11115225986,Cultural Infusion Foundation Ltd,Registered,Small,Cultural Infusion s Living Culture program works to preserve cultural diversity in impoverished communities in Africa and Asia. We recognize that community cultural practices imbue members with a sense of identity and belonging.,
11123738223,Christian Surfers International,Registered,Small,"We provide leadership development training and support to Christian Surfers missions to enable them to reach and serve the surfing community internationally, including by coaching, training, communication platforms and ensuring governance structures are in place",
11142051054,S4 Global Church Limited,Registered,Small,"Preaching, speaking, ministering at churches, running ministry courses - only 'online' and via zoom due to covid.",
11166137748,STAND4SALONE LIMITED,Registered,Small,"Assist victims of the past civil war, especially orphans and the disabled",
11240691077,Shalom Media Australia Limited,Registered,Medium,We haven't started international activities,International activities - currently in a planning stage.
11251242256,The Amasiko Partnership,Registered,Small,"During the pandemic, the Ugandan Government gave no financial or material support to anyone who lived in rural Uganda.  The Amasiko Partnership raised money in Australia through a dedicated volunteer sewing group who made and sold high quality face masks, children's clothing, quilts and other items to sell across Australia to raise money to provide basic supplies to the 430 families in Kasenda.  Money was provided for items such as soap (necessary during Covid), cooking salt (so that under-ripe bananas could be used as a food staple and made edible) and small amounts of kerosene which provided the only source of lantern light for families who were locked in their houses from 6pm until 6am. Without some source of light there seemed no hope.   Also The Amasiko Partnership Fundraising team of Australia also enabled 1800 masks to be made by local women, which were vital for the village and their market activities.",
11311764284,Blacktown Church Of Christ,Registered,Small,financial support to church ministers,
11326046447,VICTORY COMMUNITY CHURCH INC,Registered,Small,We donated money overseas to provide aids to fellow Christians living in remote regions of Northern Viet Nam who suffers from poverty and lack of basic necessities. We donated money overseas to provide aids to fellow Christians in Viet Nam during Covid pandemic.,
11429394461,Fairfield Christian Family,Registered,Medium,Financial support for orphanage in Sri Lanka. Financial support for a safe house in Cambodia where kids can go to school.,
11518339303,Australia Vietnam Friendship Society Inc,Registered,Small,"We are continuing to raise funds in Australia for the activities we have planned in Vietnam. Now that the pandemic has stabilised, we will recommence communication with the relevant parties in Vietnam with a view to enabling an exchange of doctors between our 2 countries.",
11603517984,Buddharatana Monastery Of Australia Inc.,Registered,Small,To conduct religious meditation teaching and retreats.,
11614147938,Smile For Me Limited,Registered,Small,"The charity provides medical and nursing services in conjunction with American colleagues for surgical correction of cleft lip and palate. We work with local organisations in Cebu, Philippines.",
11622458986,NAMAL Australia Ltd,Registered,Small,"Support scholarships for disadvantaged deserving student at Namal University at Mianwali, Pakistan towards their higher education.",
11622801978,New Nature Ministries Ltd,Registered,Small,Financial support for local churches and people in ministry in Philippines and South Africa. Providing Bible teaching resources to churches and people in ministry in the USA.,
11643569153,ANGELINA CASK NEUROLOGICAL RESEARCH FOUNDATION LTD,Registered,Small,ACNRF in collaboration with Virginia Polytechnic Institute and State University have continued with its Therapeutic Research Project headed by Professor Konark Mukherjee who is researching a drug that may prevent cerebellar degeneration due to CASK loss and or generally improve the quality of life of children suffering from the CASK Gene Disorder.  ACNRF also launched its CURE CASK Campaign with CRF and AECF . Both these activities are in accordance with ACNRF Mission to advance innovations in medical research  and its vision to find a cure for CASK Gene Mutations and associated conditions related to CASK.,ACNRF raised funding to advance medical research and collaborated with Virginia Polytechnic Institute and State University to commence a Therapeutic Research Project headed by Professor Konark Mukherjee - this is currently ongoing. ACNRF also partnered with UK Cask Research Foundation (CRF) and Association Enfance Cask France (AECF) to raise funding for its CURE CASK campaign.
11648394334,MAHAYOGA CHARITY LIMITED,Registered,Medium,"Non formal education is provided in collaboration with Ramakrishna Mission in India to children aged 5 - 12 who are from poverty stricken families helping them with coaching on the school curriculum, enhancing spoken English, exposing them to basic computer skills & cultivating their moral & spiritual faculties.",
11705860022,Presentation Society of Australia and Papua New Guinea,Registered,Medium,"The Society oversees the operation of charitable activities of a local PNG Religious Congregation. These activities include support for families, education, medical and church charitable works.",
11881765826,Perth Pentecostal Assembly Inc.,Registered,Small,Providing educational supports to the unprivileged areas Providing daily need support to the struggling families,
